date,year,location,side_b
12/31/61,1970,Iraq,KDP
12/31/61,1973,Iraq,KDP
12/31/61,1974,Iraq,KDP
04/11/72,1974,"Iran, Iraq",Government of Iraq
12/31/61,1975,Iraq,KDP
12/31/76,1976,Iraq,PUK
12/31/77,1977,Iraq,KDP-QM
12/31/76,1977,Iraq,PUK
12/31/77,1978,Iraq,KDP-QM
12/31/76,1978,Iraq,PUK
05/30/79,1979,Iran,APCO
05/31/46,1979,Iran,KDPI
12/31/61,1979,Iraq,KDP
08/13/72,1979,Iran,MEK
04/11/72,1980,"Iran, Iraq",Government of Iraq
08/13/72,1980,Iran,MEK
12/31/61,1980,Iraq,KDP
12/31/76,1980,Iraq,PUK
05/30/79,1980,Iran,APCO
05/31/46,1980,Iran,KDPI
04/11/72,1981,"Iran, Iraq",Government of Iraq
08/13/72,1981,Iran,MEK
12/31/61,1981,Iraq,KDP
12/31/76,1981,Iraq,PUK
05/31/46,1981,Iran,KDPI
08/01/82,1982,Iraq,SCIRI
05/31/46,1982,Iran,KDPI
04/11/72,1982,"Iran, Iraq",Government of Iraq
12/31/76,1982,Iraq,PUK
12/31/61,1982,Iraq,KDP
08/13/72,1982,Iran,MEK
08/01/82,1983,Iraq,SCIRI
12/31/76,1983,Iraq,PUK
05/31/46,1983,Iran,KDPI
12/31/61,1983,Iraq,KDP
04/11/72,1983,"Iran, Iraq",Government of Iraq
05/31/46,1984,Iran,KDPI
12/31/61,1984,Iraq,KDP
04/11/72,1984,"Iran, Iraq",Government of Iraq
08/01/82,1984,Iraq,SCIRI
04/11/72,1985,"Iran, Iraq",Government of Iraq
05/31/46,1985,Iran,KDPI
12/31/76,1985,Iraq,PUK
04/11/72,1986,"Iran, Iraq",Government of Iraq
08/13/72,1986,Iran,MEK
05/31/46,1986,Iran,KDPI
12/31/76,1986,Iraq,PUK
12/31/61,1986,Iraq,KDP
08/13/72,1987,Iran,MEK
04/11/72,1987,"Iran, Iraq",Government of Iraq
12/31/61,1987,Iraq,KDP
08/01/82,1987,Iraq,SCIRI
05/31/46,1987,Iran,KDPI
12/31/76,1987,Iraq,PUK
04/11/72,1988,"Iran, Iraq",Government of Iraq
08/13/72,1988,Iran,MEK
12/31/76,1988,Iraq,PUK
05/31/46,1988,Iran,KDPI
12/31/61,1988,Iraq,KDP
12/31/76,1989,Iraq,PUK
12/31/61,1989,Iraq,KDP
05/31/46,1990,Iran,KDPI
12/31/76,1990,Iraq,PUK
12/31/61,1990,Iraq,KDP
