date,World,Algeria,Angola,Bahrain,Canada,China,Congo-Brazzaville,Ecuador,Egypt,Gabon,Iran,Iraq,Kuwait,Libya,Mexico,Nigeria,Norway,Qatar,Saudi Arabia,United Arab Emirates,United Kingdom,United States,Venezuela
01/01/73,54389.0,1142,162,75,1778,1012,35,230.0,192.998,150,5808,1527,3768,2293,453,1936,36.773,581,6876,1416,2,9175.935,3272
02/01/73,54930.0,1142,162,69,1792,1012,35,230.0,191.087,150,5835,1687,3340,2250,458,1944,25.841,613,7194,1597,2,9395.214,3309
03/01/73,54995.0,1142,162,70,1826,1012,35,225.0,196.82,150,5832,2044,2753,2287,458,1933,39.755,604,7481,1548,2,9271.935,3330
04/01/73,55049.0,1142,162,69,1787,1012,35,120.0,206.374,150,5769,2152,2699,2318,463,1963,26.835,591,7359,1602,2,9291.9,3360
05/01/73,56323.0,1153,162,68,1721,1012,35,160.0,206.374,150,5842,2117,2827,2251,468,1957,37.767,586,8316,1613,2,9262.387,3426
06/01/73,55711.0,1153,162,70,1889,1012,35,200.0,200.642,150,5826,2051,2857,2276,468,2007,37.767,560,7553,1537,2,9213.933,3383
07/01/73,57420.0,1142,162,68,1803,1062,35,220.0,224.528,150,5873,2099,3283,2176,463,2000,33.792,606,8682,1613,2,9217.129,3391
08/01/73,56750.0,1142,162,68,1799,1062,35,220.0,224.528,150,5701,2091,3012,2096,463,2110,33.792,568,8423,1674,2,9168.548,3396
09/01/73,57744.0,1142,162,68,1735,1062,35,220.0,224.528,150,5792,2166,3483,2273,463,2112,33.792,609,8532,1660,2,9065.3,3406
10/01/73,56614.0,1059,162,71,1802,1180,35,220.0,57.326,150,5977,1846,3060,2370,473,2200,36.773,600,7796,1669,2,9223.871,3381
11/01/73,53866.0,914,162,70,1821,1180,35,220.0,28.663,150,6008,2203,2617,1756,473,2210,36.773,474,6267,1297,2,9160.967,3395
12/01/73,54277.0,893,162,70,1825,1450,35,240.0,28.663,150,6070,2215,2558,1759,473,2266,3.975,456,6614,1171,2,9063.226,3340
01/01/74,55474.0,1046,169,69,1676,1165,61,240.0,84.117,202,6100,1994,2839,2007,497,2194,2.018,517,7513,1388,2,8933.871,3284
02/01/74,55943.0,1067,169,68,1675,1165,61,240.0,84.117,202,6154,1975,2850,1921,497,2194,25.221,516,7796,1511,2,9142.214,3230
03/01/74,56375.0,1067,169,67,1709,1165,61,250.0,115.662,202,6122,1986,2842,1859,533,2299,17.15,517,8131,1736,2,8965.387,3189
04/01/74,57110.0,1089,169,66,1644,1165,61,255.0,105.147,202,6172,2164,2837,1713,543,2284,13.115,518,8654,1854,2,8953.967,3053
05/01/74,57279.0,1089,169,65,1573,1219,61,240.0,157.72,202,6179,1753,2846,1926,543,2259,30.265,518,9014,1856,2,8910.581,2939
06/01/74,56858.0,1035,169,66,1528,1219,61,240.0,168.235,202,6060,1851,2870,1753,589,2345,38.336,519,8885,1821,2,8780.233,2953
07/01/74,55765.0,980,169,66,1522,1219,61,100.0,168.235,202,6061,1905,2287,1564,615,2205,47.416,519,8783,1933,2,8780.129,2949
08/01/74,54302.0,1035,169,65,1493,1219,61,120.0,178.75,202,5953,1938,2069,1258,594,2308,47.416,515,8275,1779,2,8698.871,2868
09/01/74,54841.0,980,169,66,1467,1219,61,125.0,180.853,202,5833,1871,2226,1309,594,2321,50.442,514,8763,1704,2,8442.933,2778
10/01/74,55013.0,980,169,67,1451,1625,61,105.0,184.007,202,5717,1991,2061,1056,615,2334,44.389,524,9052,1489,2,8611.258,2818
11/01/74,55088.0,871,169,66,1334,1625,61,70.0,184.007,202,6012,1921,2547,949,615,2247,57.504,518,8812,1530,2,8568.8,2826
