year,location,side_a,side_b
1950,USA,Government of United States of America,Puerto Rican Nationalist Party
1979,Saudi Arabia,Government of Saudi Arabia,JSM
1983,"Grenada, USA",Government of Grenada,Government of United States of America
1989,"Panama, USA",Government of Panama,Government of United States of America
2001,"Afghanistan, UK, USA",Government of Afghanistan,"Government of United Kingdom, Government of United States of America"
2002,USA,Government of United States of America,al-Qaida 
2003,"Australia, Iraq, UK, USA","Government of Australia, Government of United Kingdom, Government of United States of America",Government of Iraq
2004,USA,Government of United States of America,al-Qaida 
2005,USA,Government of United States of America,al-Qaida 
2006,USA,Government of United States of America,al-Qaida 
2007,USA,Government of United States of America,al-Qaida 
2008,USA,Government of United States of America,al-Qaida 
2009,USA,Government of United States of America,al-Qaida 
2010,USA,Government of United States of America,al-Qaida 
2011,USA,Government of United States of America,al-Qaida 
2012,USA,Government of United States of America,al-Qaida 
2013,USA,Government of United States of America,al-Qaida 
2014,USA,Government of United States of America,al-Qaida 
2015,USA,Government of United States of America,al-Qaida 
2016,USA,Government of United States of America,al-Qaida 
2017,USA,Government of United States of America,al-Qaida 
2019,USA,Government of United States of America,al-Qaida 
2024,"UK, USA, Yemen (North Yemen)","Government of United Kingdom, Government of United States of America",Government of Yemen (North Yemen)
